rodada,data,adversario,local,gols_fla,gols_adv,resultado,finalizacoes,posse,saldo,pontos
1,2026-01-28,Sao Paulo,Fora,1,2,D,15,59,-1,0
2,2026-02-04,Internacional,Casa,1,1,E,18,65,0,1
3,2026-02-10,Vitoria,Fora,2,1,V,6,56,1,3
4,2026-03-11,Cruzeiro,Casa,2,0,V,15,44,2,3
5,2026-03-14,Botafogo,Fora,3,0,V,18,58,3,3
6,2026-03-19,Remo,Casa,3,0,V,11,65,3,3
7,2026-03-22,Corinthians,Fora,1,1,E,10,46,0,1
8,2026-04-02,Red Bull Bragantino,Fora,0,3,D,7,44,-3,0
9,2026-04-05,Santos,Casa,3,1,V,17,63,2,3
10,2026-04-19,Bahia,Casa,2,0,V,20,52,2,3